#Procedure: <__main__.SAFCProcedure>
#Parameters:
#	Amplitude Voltage: 0.01 V
#	Current Step: 1
#	Dwell Time: 5 min
#	EIS Sample Number: 0
#	Run EIS: True
#	Eurotherm Address: 1
#	Eurotherm Port: ASRL9::INSTR
#	Maximum Frequency: 1000 Hz
#	MFC 1 Setpoint: 0 sccm
#	MFC 2 Setpoint: 0 sccm
#	MFC 3 Setpoint: 100 sccm
#	MFC 4 Setpoint: 0 sccm
#	ROD-4 Port: ASRL3::INSTR
#	Minimum Frequency: 500 Hz
#	Number of Measurement Steps: 1
#	Points Per Decade: 10
#	Potentiostat Port: GPIB0::20::INSTR
#	Ramp Rate: 5 C/min
#	Record Time: 2 s
#	Scanner Port: GPIB0::17::INSTR
#	Target Temperature: 23 C
#	TC Sensor Port: GPIB0::15::INSTR
#Data:
System Time,Time (s),Furnace Temperature (degC),1: Temperature (degC),2: Temperature (degC),3: Temperature (degC),MFC 1 Flow (cc/min),MFC 2 Flow (cc/min),MFC 3 Flow (cc/min),MFC 4 Flow (cc/min),Frequency (Hz),Z_re (ohm),-Z_im (ohm)
2026-07-22 13:24:51.083343,0.0,75.76410675048828,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:24:53.073345,2.0,75.82920837402344,nan,nan,nan,3.0,7.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:24:55.083348,4.0,75.89012145996094,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:24:57.078351,6.0,75.96788787841797,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:24:59.078354,8.0,76.077880859375,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:01.078357,10.0,76.22389221191406,nan,nan,nan,3.0,7.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:03.068359,12.0,76.3905029296875,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:05.078362,14.0,76.55734252929688,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:07.074397,16.0,76.81015014648438,nan,nan,nan,3.0,7.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:09.072462,18.0,77.00828552246094,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:11.073481,20.0,77.29170989990234,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:13.082486,22.0,77.56549072265625,nan,nan,nan,3.0,7.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:15.074494,24.0,77.85586547851562,nan,25.57768141174157,nan,3.0,7.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:17.070497,26.0,78.12784576416016,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:19.070500,28.0,78.3709716796875,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:21.075503,30.0,78.67034149169922,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:23.080506,32.0,78.9835205078125,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:25.075508,34.0,79.2901611328125,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:27.070511,36.0,79.62882995605469,nan,nan,nan,3.0,6.0,100.0,-3.0,nan,nan,nan
2026-07-22 13:25:29.070514,38.0,79.95826721191406,nan,nan,nan,3.0,7.0,100.0,-3.0,nan,nan,nan
